"group_code","group_name","country_code"
"Commonwealth of Nations","Commonwealth of Nations","ZM"
"CPLP","Community of Portuguese Language Countries","AD"
"CPLP","Community of Portuguese Language Countries","AO"
"CPLP","Community of Portuguese Language Countries","AR"
"CPLP","Community of Portuguese Language Countries","AU"
"CPLP","Community of Portuguese Language Countries","BR"
"CPLP","Community of Portuguese Language Countries","CL"
"CPLP","Community of Portuguese Language Countries","CV"
"CPLP","Community of Portuguese Language Countries","CZ"
"CPLP","Community of Portuguese Language Countries","ES"
"CPLP","Community of Portuguese Language Countries","FR"
"CPLP","Community of Portuguese Language Countries","GB"
"CPLP","Community of Portuguese Language Countries","GE"
"CPLP","Community of Portuguese Language Countries","GN"
"CPLP","Community of Portuguese Language Countries","HR"
"CPLP","Community of Portuguese Language Countries","HU"
"CPLP","Community of Portuguese Language Countries","ID"
"CPLP","Community of Portuguese Language Countries","IN"
"CPLP","Community of Portuguese Language Countries","IT"
"CPLP","Community of Portuguese Language Countries","JP"
"CPLP","Community of Portuguese Language Countries","LU"
"CPLP","Community of Portuguese Language Countries","MA"
"CPLP","Community of Portuguese Language Countries","MO"
"CPLP","Community of Portuguese Language Countries","MU"
"CPLP","Community of Portuguese Language Countries","MY"
"CPLP","Community of Portuguese Language Countries","MZ"
"CPLP","Community of Portuguese Language Countries","NA"
"CPLP","Community of Portuguese Language Countries","OM"
"CPLP","Community of Portuguese Language Countries","PH"
"CPLP","Community of Portuguese Language Countries","PT"
"CPLP","Community of Portuguese Language Countries","RS"
"CPLP","Community of Portuguese Language Countries","SK"
"CPLP","Community of Portuguese Language Countries","SN"
"CPLP","Community of Portuguese Language Countries","ST"
"CPLP","Community of Portuguese Language Countries","SZ"
"CPLP","Community of Portuguese Language Countries","TL"
"CPLP","Community of Portuguese Language Countries","TR"
"CPLP","Community of Portuguese Language Countries","UA"
"CPLP","Community of Portuguese Language Countries","UY"
"CPLP","Community of Portuguese Language Countries","VE"
"CSTO","Collective Security Treaty Organization","AF"
"CSTO","Collective Security Treaty Organization","AM"
"CSTO","Collective Security Treaty Organization","BY"
"CSTO","Collective Security Treaty Organization","KG"
"CSTO","Collective Security Treaty Organization","KZ"
"CSTO","Collective Security Treaty Organization","RS"
"CSTO","Collective Security Treaty Organization","RU"
"CSTO","Collective Security Treaty Organization","TJ"
"DAC","Development Assistance Committee","AT"
"DAC","Development Assistance Committee","AU"
"DAC","Development Assistance Committee","BE"
"DAC","Development Assistance Committee","BG"
"DAC","Development Assistance Committee","CA"
"DAC","Development Assistance Committee","CH"
"DAC","Development Assistance Committee","CY"
"DAC","Development Assistance Committee","CZ"
"DAC","Development Assistance Committee","DE"
"DAC","Development Assistance Committee","DK"
"DAC","Development Assistance Committee","EE"
"DAC","Development Assistance Committee","ES"
"DAC","Development Assistance Committee","FI"
"DAC","Development Assistance Committee","FR"
"DAC","Development Assistance Committee","GB"
"DAC","Development Assistance Committee","GR"
"DAC","Development Assistance Committee","HR"
"DAC","Development Assistance Committee","HU"
"DAC","Development Assistance Committee","IE"
"DAC","Development Assistance Committee","IS"
"DAC","Development Assistance Committee","IT"
"DAC","Development Assistance Committee","JP"
"DAC","Development Assistance Committee","KR"
"DAC","Development Assistance Committee","LT"
"DAC","Development Assistance Committee","LU"
"DAC","Development Assistance Committee","LV"
"DAC","Development Assistance Committee","MT"
"DAC","Development Assistance Committee","NL"
"DAC","Development Assistance Committee","NO"
"DAC","Development Assistance Committee","NZ"
"DAC","Development Assistance Committee","OM"
"DAC","Development Assistance Committee","PL"
"DAC","Development Assistance Committee","PT"
"DAC","Development Assistance Committee","SE"
"DAC","Development Assistance Committee","SI"
"DAC","Development Assistance Committee","SK"
"DAC","Development Assistance Committee","US"
"DACH","DACH","AT"
"DACH","DACH","CH"
"DACH","DACH","DE"
"EAC","East African Community","BI"
"EAC","East African Community","KE"
"EAC","East African Community","RW"
"EAC","East African Community","SD"
"EAC","East African Community","TZ"
"EAC","East African Community","UG"
"EAEU","Eurasian Economic Union","AM"
"EAEU","Eurasian Economic Union","BY"
"EAEU","Eurasian Economic Union","KG"
"EAEU","Eurasian Economic Union","KZ"
"EAEU","Eurasian Economic Union","RU"
"EALA","EALA","AD"
"EALA","EALA","AL"
"EALA","EALA","AO"
"EALA","EALA","AR"
"EALA","EALA","AT"
"EALA","EALA","AZ"
"EALA","EALA","BA"
"EALA","EALA","BE"
"EALA","EALA","BF"
"EALA","EALA","BG"
"EALA","EALA","BI"
"EALA","EALA","BJ"
"EALA","EALA","BL"
"EALA","EALA","BO"
"EALA","EALA","BR"
"EALA","EALA","BW"
"EALA","EALA","BY"
"EALA","EALA","CD"
"EALA","EALA","CF"
"EALA","EALA","CG"
"EALA","EALA","CH"
"EALA","EALA","CI"
"EALA","EALA","CL"
"EALA","EALA","CM"
"EALA","EALA","CO"
"EALA","EALA","CR"
"EALA","EALA","CU"
"EALA","EALA","CV"
"EALA","EALA","CY"
"EALA","EALA","CZ"
"EALA","EALA","DE"
"EALA","EALA","DJ"
"EALA","EALA","DK"
"EALA","EALA","DM"
"EALA","EALA","DZ"
"EALA","EALA","EC"
"EALA","EALA","EE"
"EALA","EALA","EG"
"EALA","EALA","ER"
"EALA","EALA","ES"
"EALA","EALA","ET"
"EALA","EALA","FI"
"EALA","EALA","FR"
"EALA","EALA","GA"
"EALA","EALA","GB"
"EALA","EALA","GE"
"EALA","EALA","GH"
"EALA","EALA","GM"
"EALA","EALA","GN"
"EALA","EALA","GP"
"EALA","EALA","GR"
"EALA","EALA","GT"
"EALA","EALA","HN"
"EALA","EALA","HR"
"EALA","EALA","HT"
"EALA","EALA","HU"
"EALA","EALA","IE"
"EALA","EALA","IS"
"EALA","EALA","IT"
"EALA","EALA","KE"
"EALA","EALA","KM"
"EALA","EALA","KZ"
"EALA","EALA","LI"
"EALA","EALA","LR"
"EALA","EALA","LS"
"EALA","EALA","LT"
"EALA","EALA","LU"
"EALA","EALA","LV"
"EALA","EALA","LY"
"EALA","EALA","MA"
"EALA","EALA","MC"
"EALA","EALA","MD"
"EALA","EALA","ME"
"EALA","EALA","MF"
"EALA","EALA","MG"
"EALA","EALA","MK"
"EALA","EALA","ML"
"EALA","EALA","MQ"
"EALA","EALA","MR"
"EALA","EALA","MT"
"EALA","EALA","MU"
"EALA","EALA","MW"
"EALA","EALA","MX"
"EALA","EALA","MZ"
"EALA","EALA","NA"
"EALA","EALA","NE"
"EALA","EALA","NI"
"EALA","EALA","NL"
"EALA","EALA","NO"
"EALA","EALA","OM"
"EALA","EALA","PA"
"EALA","EALA","PE"
"EALA","EALA","PL"
"EALA","EALA","PR"
"EALA","EALA","PT"
"EALA","EALA","PY"
"EALA","EALA","RS"
"EALA","EALA","RU"
"EALA","EALA","RW"
"EALA","EALA","SC"
"EALA","EALA","SD"
"EALA","EALA","SE"
"EALA","EALA","SI"
"EALA","EALA","SK"
"EALA","EALA","SL"
"EALA","EALA","SM"
"EALA","EALA","SN"
"EALA","EALA","ST"
"EALA","EALA","SV"
"EALA","EALA","SZ"
"EALA","EALA","TD"
"EALA","EALA","TG"
"EALA","EALA","TN"
"EALA","EALA","TR"
"EALA","EALA","TZ"
"EALA","EALA","UA"
"EALA","EALA","UG"
"EALA","EALA","UY"
"EALA","EALA","VA"
"EALA","EALA","VE"
"EALA","EALA","ZA"
"EALA","EALA","ZM"
"EALA","EALA","ZW"
"EaP","Eastern Partnership","AM"
"EaP","Eastern Partnership","AT"
"EaP","Eastern Partnership","AZ"
"EaP","Eastern Partnership","BE"
"EaP","Eastern Partnership","BG"
"EaP","Eastern Partnership","BY"
"EaP","Eastern Partnership","CY"
"EaP","Eastern Partnership","CZ"
"EaP","Eastern Partnership","DE"
"EaP","Eastern Partnership","DK"
"EaP","Eastern Partnership","EE"
"EaP","Eastern Partnership","ES"
"EaP","Eastern Partnership","FI"
"EaP","Eastern Partnership","FR"
"EaP","Eastern Partnership","GB"
"EaP","Eastern Partnership","GE"
"EaP","Eastern Partnership","GR"
"EaP","Eastern Partnership","HR"
"EaP","Eastern Partnership","HU"
"EaP","Eastern Partnership","IE"
"EaP","Eastern Partnership","IT"
"EaP","Eastern Partnership","LT"
"EaP","Eastern Partnership","LU"
"EaP","Eastern Partnership","LV"
"EaP","Eastern Partnership","MD"
"EaP","Eastern Partnership","MT"
"EaP","Eastern Partnership","NL"
"EaP","Eastern Partnership","OM"
"EaP","Eastern Partnership","PL"
"EaP","Eastern Partnership","PT"
"EaP","Eastern Partnership","SE"
"EaP","Eastern Partnership","SI"
"EaP","Eastern Partnership","SK"
"EaP","Eastern Partnership","UA"
"ECO","Economic Cooperation Organization","AF"
"ECO","Economic Cooperation Organization","AZ"
"ECO","Economic Cooperation Organization","IR"
"ECO","Economic Cooperation Organization","KG"
"ECO","Economic Cooperation Organization","KZ"
"ECO","Economic Cooperation Organization","PK"
"ECO","Economic Cooperation Organization","TJ"
"ECO","Economic Cooperation Organization","TM"
"ECO","Economic Cooperation Organization","TR"
"ECO","Economic Cooperation Organization","UZ"
"EEMEA","EEMEA","AE"
"EEMEA","EEMEA","AM"
"EEMEA","EEMEA","AO"
"EEMEA","EEMEA","AZ"
"EEMEA","EEMEA","BH"
"EEMEA","EEMEA","BI"
"EEMEA","EEMEA","BJ"
"EEMEA","EEMEA","BW"
"EEMEA","EEMEA","BY"
"EEMEA","EEMEA","CF"
"EEMEA","EEMEA","CG"
"EEMEA","EEMEA","CI"
"EEMEA","EEMEA","CM"
"EEMEA","EEMEA","CV"
"EEMEA","EEMEA","DJ"
"EEMEA","EEMEA","DZ"
"EEMEA","EEMEA","EG"
"EEMEA","EEMEA","EH"
"EEMEA","EEMEA","ER"
"EEMEA","EEMEA","ET"
"EEMEA","EEMEA","GA"
"EEMEA","EEMEA","GE"
"EEMEA","EEMEA","GH"
"EEMEA","EEMEA","GM"
"EEMEA","EEMEA","GN"
"EEMEA","EEMEA","IL"
"EEMEA","EEMEA","IQ"
"EEMEA","EEMEA","IR"
"EEMEA","EEMEA","JO"
"EEMEA","EEMEA","KE"
"EEMEA","EEMEA","KM"
"EEMEA","EEMEA","KW"
"EEMEA","EEMEA","KZ"
"EEMEA","EEMEA","LB"
"EEMEA","EEMEA","LR"
"EEMEA","EEMEA","LS"
"EEMEA","EEMEA","LY"
"EEMEA","EEMEA","MA"
"EEMEA","EEMEA","MG"
"EEMEA","EEMEA","ML"
"EEMEA","EEMEA","MR"
"EEMEA","EEMEA","MU"
"EEMEA","EEMEA","MW"
"EEMEA","EEMEA","MZ"
"EEMEA","EEMEA","NA"
"EEMEA","EEMEA","NE"
"EEMEA","EEMEA","OM"
"EEMEA","EEMEA","QA"
"EEMEA","EEMEA","RE"
"EEMEA","EEMEA","RU"
"EEMEA","EEMEA","RW"
"EEMEA","EEMEA","SA"
"EEMEA","EEMEA","SC"
"EEMEA","EEMEA","SD"
"EEMEA","EEMEA","SH"
"EEMEA","EEMEA","SL"
"EEMEA","EEMEA","SN"
"EEMEA","EEMEA","ST"
"EEMEA","EEMEA","SY"
"EEMEA","EEMEA","SZ"
"EEMEA","EEMEA","TD"
"EEMEA","EEMEA","TG"
"EEMEA","EEMEA","TN"
"EEMEA","EEMEA","TR"
"EEMEA","EEMEA","TZ"
"EEMEA","EEMEA","UA"
"EEMEA","EEMEA","UG"
"EEMEA","EEMEA","YE"
"EEMEA","EEMEA","YT"
"EEMEA","EEMEA","ZA"
"EEMEA","EEMEA","ZM"
"EEMEA","EEMEA","ZW"
"EFTA","European Free Trade Association","CH"
"EFTA","European Free Trade Association","IS"
"EFTA","European Free Trade Association","LI"
"EFTA","European Free Trade Association","NO"
"EMEA","EMEA","AD"
"EMEA","EMEA","AE"
"EMEA","EMEA","AL"
"EMEA","EMEA","AM"
"EMEA","EMEA","AO"
"EMEA","EMEA","AT"
"EMEA","EMEA","AX"
"EMEA","EMEA","AZ"
"EMEA","EMEA","BA"
"EMEA","EMEA","BE"
"EMEA","EMEA","BG"
"EMEA","EMEA","BH"
"EMEA","EMEA","BI"
"EMEA","EMEA","BJ"
"EMEA","EMEA","BW"
"EMEA","EMEA","BY"
"EMEA","EMEA","CF"
"EMEA","EMEA","CG"
"EMEA","EMEA","CH"
"EMEA","EMEA","CI"
"EMEA","EMEA","CM"
"EMEA","EMEA","CV"
"EMEA","EMEA","CY"
"EMEA","EMEA","CZ"
"EMEA","EMEA","DE"
"EMEA","EMEA","DJ"
"EMEA","EMEA","DK"
"EMEA","EMEA","DZ"
"EMEA","EMEA","EE"
"EMEA","EMEA","EG"
"EMEA","EMEA","EH"
"EMEA","EMEA","ER"
"EMEA","EMEA","ES"
"EMEA","EMEA","ET"
"EMEA","EMEA","FI"
"EMEA","EMEA","FO"
"EMEA","EMEA","FR"
"EMEA","EMEA","GA"
"EMEA","EMEA","GB"
"EMEA","EMEA","GE"
"EMEA","EMEA","GG"
"EMEA","EMEA","GH"
"EMEA","EMEA","GI"
